GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
project,sakila.project.controllers,CategoryController,0,145,0,12,0,32,0,13,0,7
project,sakila.project.controllers,ActorController,0,174,0,10,0,35,0,12,0,7
project,sakila.project.controllers,AddressController,4,417,1,29,1,82,1,27,0,13
project,sakila.project.entities,Rental,80,0,0,0,10,0,15,0,15,0
project,sakila.project.entities,Film,176,0,0,0,18,0,31,0,31,0
project,sakila.project.entities,Address,52,57,0,0,3,11,4,16,4,16
project,sakila.project.entities,Inventory,56,0,0,0,8,0,11,0,11,0
project,sakila.project.entities,Staff,140,0,0,0,15,0,25,0,25,0
project,sakila.project.entities,Store,56,0,0,0,8,0,11,0,11,0
project,sakila.project.entities,FilmText,44,0,0,0,7,0,9,0,9,0
project,sakila.project.entities,FilmCategory,44,0,0,0,7,0,9,0,9,0
project,sakila.project.entities,Payment,92,0,0,0,11,0,17,0,17,0
project,sakila.project.entities,FilmActor,44,0,0,0,7,0,9,0,9,0
project,sakila.project.entities,Language,44,0,0,0,7,0,9,0,9,0
project,sakila.project.entities,Country,49,0,0,0,9,0,10,0,10,0
project,sakila.project.entities,City,31,30,0,0,4,6,6,6,6,6
project,sakila.project.entities,Actor,46,37,0,0,3,9,5,9,5,9
project,sakila.project.entities,Customer,116,0,0,0,13,0,21,0,21,0
project,sakila.project.entities,Category,36,25,0,0,3,7,5,7,5,7
project,sakila.project,ProjectApplication,5,14,0,0,2,4,1,2,1,2
